"id","taxon_group","language_iso","kingdom_taxon","kingdom_taxa_taxon_list_id","order_taxon","order_taxa_taxon_list_id","family_taxon","family_taxa_taxon_list_id","parent_id","taxonomic_sort_order","taxon","authority","taxon_rank","taxon_rank_sort_order","preferred","preferred_taxon","preferred_authority","default_common_name","freshwater_flag","non_native_flag"
399524,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Saturniidae",75147,75147,NULL,"Graellsia","Grote, 1896","Genus",230,True,"Graellsia","Grote, 1896",NULL,False,True
395098,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,NULL,NULL,399993,NULL,"Alucitoidea",NULL,"Superfamily",170,True,"Alucitoidea",NULL,NULL,False,False
237542,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Erebidae",289269,160258,NULL,"Eilema sericea","(Gregson, 1860)","Species",300,False,"Eilema complana form sericea","Gregson, 1860","Northern Footman",False,False
237541,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Erebidae",289269,160258,NULL,"Eilema complana form sericea","Gregson, 1860","Form",350,True,"Eilema complana form sericea","Gregson, 1860","Northern Footman",False,False
39727,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,397302,NULL,"Cydia saltitans","(Westwood, 1858)","Species",300,False,"Cydia deshaisiana","(Lucas, 1858)","Jumping-bean Moth",False,False
136228,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,12874,NULL,"Cucullia gnaphalii subsp. occidentalis","(Boursin, 1945)","Subspecies",320,False,"Cucullia gnaphalii occidentalis","Boursin, 1944",NULL,False,False
136227,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,12874,NULL,"Cucullia gnaphalii subsp. occidentalis","Boursin, 1945","Subspecies",320,False,"Cucullia gnaphalii occidentalis","Boursin, 1944",NULL,False,False
39726,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,397302,NULL,"Cydia deshaisiana","(Lucas, 1858)","Species",300,True,"Cydia deshaisiana","(Lucas, 1858)","Jumping-bean Moth",False,False
60501,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,395326,NULL,"Euplexia","Stephens, 1829","Genus",230,True,"Euplexia","Stephens, 1829",NULL,False,False
202904,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gelechiidae",213249,397856,NULL,"Carpatolechia","Câpuse","Genus",230,False,"Carpatolechia","Căpuşe, 1964",NULL,False,False
408807,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,208990,NULL,"Aspitates gilvaria burrenensis","Cockayne, 1951","Subspecies",320,True,"Aspitates gilvaria burrenensis","Cockayne, 1951",NULL,False,False
61724,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,49347,NULL,"Eupithecia pulchellata subsp. hebudium","Sheldon, 1899","Subspecies",320,True,"Eupithecia pulchellata subsp. hebudium","Sheldon, 1899",NULL,False,False
62075,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Depressariidae",396754,400518,NULL,"Agonopterix nanatella","Stainton","Species",300,False,"Agonopterix nanatella","(Stainton, 1849)","Carline Flat-body",False,False
63489,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,14852,NULL,"Shargacucullia","Ronkay & Ronkay","Genus",230,False,"Shargacucullia","Ronkay & Ronkay, 1992",NULL,False,False
476717,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,400615,NULL,"Odontopera",NULL,"Genus",230,False,"Odontopera","Stephens, 1831",NULL,False,False
484784,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,394216,NULL,"Sideridis",NULL,"Genus",230,False,"Sideridis (Sideridis)","Hübner, [1821]",NULL,False,False
13101,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,196386,NULL,"Amphipyra berbera subsp. svenssoni","Fletcher, 1968","Subspecies",320,False,"Amphipyra berbera svenssoni","Fletcher, 1968","Svensson's Copper Underwing",False,False
413437,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,9850,NULL,"Acronicta menyanthidis scotica","(Tutt, 1891)","Subspecies",320,True,"Acronicta menyanthidis scotica","(Tutt, 1891)",NULL,False,False
67134,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Sphingidae",144827,94489,NULL,"Sphinx drupiferarum","Smith in Abbot, 1797","Species",300,False,"Sphinx drupiferarum","(Smith, 1797)","Wild Cherry Sphinx",False,False
67133,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Sphingidae",144827,94489,NULL,"Sphinx drupiferarum","(Smith, 1797)","Species",300,True,"Sphinx drupiferarum","(Smith, 1797)","Wild Cherry Sphinx",False,False
